K,attribute,class,value
8,Travel Cost,Class 2,-1.821643590927124
8,Travel Cost,Class 3,-0.14323675632476807
8,Travel Cost,Class 4,-5.265726089477539
8,Travel Cost,Class 5,-3.4498610496520996
8,Travel Cost,Class 6,-2.5135748386383057
8,Travel Cost,Class 7,-0.1731061190366745
8,Travel Cost,Class 8,-0.7254072427749634
8,Class Share,Class 1,0.12427405267953873
8,Class Share,Class 2,0.1253649741411209
8,Class Share,Class 3,0.12496524304151535
8,Class Share,Class 4,0.1241404339671135
8,Class Share,Class 5,0.12478198111057281
8,Class Share,Class 6,0.12622125446796417
8,Class Share,Class 7,0.12465076893568039
8,Class Share,Class 8,0.12560102343559265
8,VOT (CHF/min),Class 1,422.3459473883094
8,VOT (CHF/min),Class 2,25.332345018430036
8,VOT (CHF/min),Class 3,26.930771777351183
8,VOT (CHF/min),Class 4,2.8201016660656215
8,VOT (CHF/min),Class 5,12.330048407913072
8,VOT (CHF/min),Class 6,1.7790745449891052
8,VOT (CHF/min),Class 7,190.8335470059906
8,VOT (CHF/min),Class 8,58.36148286406142
9,ASC (Train),Class 1,0.0
9,ASC (Train),Class 2,0.0
9,ASC (Train),Class 3,0.0
9,ASC (Train),Class 4,0.0
9,ASC (Train),Class 5,0.0
9,ASC (Train),Class 6,0.0
9,ASC (Train),Class 7,0.0
9,ASC (Train),Class 8,0.0
9,ASC (Train),Class 9,0.0
9,ASC (Car),Class 1,3.925532817840576
9,ASC (Car),Class 2,-1.375594139099121
9,ASC (Car),Class 3,0.6521071791648865
9,ASC (Car),Class 4,2.8875887393951416
9,ASC (Car),Class 5,0.7133117914199829
9,ASC (Car),Class 6,-2.3922746181488037
9,ASC (Car),Class 7,3.105692148208618
9,ASC (Car),Class 8,-2.529700517654419
9,ASC (Car),Class 9,1.4637643098831177
9,Travel Time,Class 1,-0.33939483761787415
9,Travel Time,Class 2,-3.5214831829071045
9,Travel Time,Class 3,-3.7642662525177
9,Travel Time,Class 4,-4.471141338348389
9,Travel Time,Class 5,-2.5900230407714844
9,Travel Time,Class 6,-2.0862910747528076
9,Travel Time,Class 7,-2.728865146636963
9,Travel Time,Class 8,-0.2794259488582611
9,Travel Time,Class 9,-1.096601128578186
9,Travel Cost,Class 1,-2.261624336242676
9,Travel Cost,Class 2,-0.14312395453453064
9,Travel Cost,Class 3,-0.4557459056377411
9,Travel Cost,Class 4,-2.558777332305908
9,Travel Cost,Class 5,-0.9818769693374634
9,Travel Cost,Class 6,-0.2103090137243271
9,Travel Cost,Class 7,-3.1862564086914062
9,Travel Cost,Class 8,-0.16293923556804657
9,Travel Cost,Class 9,-4.984028339385986
9,Class Share,Class 1,0.11100313812494278
9,Class Share,Class 2,0.11293124407529831
9,Class Share,Class 3,0.11148486286401749
9,Class Share,Class 4,0.11071357131004333
9,Class Share,Class 5,0.11086906492710114
9,Class Share,Class 6,0.11019895225763321
9,Class Share,Class 7,0.11087080836296082
9,Class Share,Class 8,0.10967373847961426
9,Class Share,Class 9,0.1122547835111618
9,VOT (CHF/min),Class 1,1.8726105017028405
9,VOT (CHF/min),Class 2,307.0265853552352
9,VOT (CHF/min),Class 3,103.06714584511418
9,VOT (CHF/min),Class 4,21.804623650005535
9,VOT (CHF/min),Class 5,32.916166109128206
9,VOT (CHF/min),Class 6,123.78833016828604
9,VOT (CHF/min),Class 7,10.68720262894365
9,VOT (CHF/min),Class 8,21.39950615346757
9,VOT (CHF/min),Class 9,2.7455596055892646
